ZipCode,county,state,Youth,Adult,Geriatric
97013,Clackamas County,OR,NA,NA,63.04347826086957
97023,Clackamas County,OR,95.41666666666667,NA,NA
97355,Linn County,OR,24.166666666666668,NA,NA
97424,Lane County,OR,61.66666666666667,NA,NA
97501,Jackson County,OR,NA,10.384615384615385,NA
97702,Deschutes County,OR,NA,51.153846153846146,NA
97801,Umatilla County,OR,60.416666666666664,NA,NA
15026,Beaver County,PA,100,NA,NA
15090,Allegheny County,PA,54.166666666666664,NA,NA
15221,Allegheny County,PA,NA,NA,16.304347826086957
15301,Washington County,PA,10,8.461538461538462,NA
15931,Cambria County,PA,NA,NA,88.04347826086956
16023,Butler County,PA,96.25,NA,NA
16335,Crawford County,PA,40,NA,NA
16507,Erie County,PA,92.91666666666667,NA,NA
16901,Tioga County,PA,NA,NA,79.8913043478261
17066,Huntingdon County,PA,82.5,NA,NA
17078,Lebanon County,PA,NA,NA,3.260869565217391
17084,Mifflin County,PA,NA,93.84615384615384,NA
17112,Dauphin County,PA,22.916666666666664,NA,NA
17404,York County,PA,59.583333333333336,NA,NA
17837,Union County,PA,NA,80.76923076923077,NA
18045,Northampton County,PA,NA,NA,8.695652173913043
18102,Lehigh County,PA,NA,3.076923076923077,NA
18232,Carbon County,PA,NA,96.15384615384616,NA
18360,Monroe County,PA,NA,NA,14.130434782608695
18403,Lackawanna County,PA,NA,88.07692307692308,NA
18509,Lackawanna County,PA,NA,NA,75
18974,Bucks County,PA,52.916666666666664,NA,NA
18976,Bucks County,PA,72.08333333333333,NA,NA
19010,Delaware County,PA,55.00000000000001,NA,NA
