ZipCode,county,state,Youth,Geriatric
75227,Dallas County,TX,3.862660944206009,NA
76126,Tarrant County,TX,31.330472103004293,NA
76226,Denton County,TX,30.042918454935624,NA
76549,Bell County,TX,5.579399141630901,NA
77035,Harris County,TX,69.95708154506438,NA
77082,Harris County,TX,12.875536480686694,NA
77095,Harris County,TX,67.38197424892704,NA
77396,Harris County,TX,66.52360515021459,NA
78227,Bexar County,TX,NA,27.807486631016044
78626,Williamson County,TX,30.90128755364807,NA
78641,Williamson County,TX,18.88412017167382,NA
78739,Travis County,TX,NA,94.11764705882352
84084,Salt Lake County,UT,26.180257510729614,NA
84117,Salt Lake County,UT,NA,23.52941176470588
84321,Cache County,UT,10.72961373390558,NA
05452,Chittenden County,VT,NA,37.4331550802139
05701,Rutland County,VT,11.587982832618025,NA
20164,Loudoun County,VA,41.63090128755365,NA
20191,Fairfax County,VA,95.27896995708154,NA
22043,Fairfax County,VA,NA,80.21390374331551
22191,Prince William County,VA,4.721030042918455,NA
22307,Fairfax County,VA,NA,73.2620320855615
22923,Greene County,VA,100,NA
23059,Henrico County,VA,NA,78.07486631016043
23111,Hanover County,VA,NA,65.24064171122996
23112,Chesterfield County,VA,NA,32.62032085561498
23140,New Kent County,VA,NA,89.83957219251337
23192,Hanover County,VA,52.36051502145923,NA
23229,Henrico County,VA,NA,50.26737967914438
23231,Henrico County,VA,NA,24.06417112299465
23237,Chesterfield County,VA,63.0901287553648,NA
24012,Roanoke city,VA,77.6824034334764,NA
24266,Russell County,VA,43.776824034334766,NA
98119,King County,WA,NA,59.893048128342244
98225,Whatcom County,WA,NA,38.50267379679144
98383,Kitsap County,WA,68.6695278969957,NA
99019,Spokane County,WA,NA,77.00534759358288
99114,Stevens County,WA,NA,46.524064171122994
99212,Spokane County,WA,NA,67.37967914438502
25276,Roane County,WV,NA,82.35294117647058
25314,Kanawha County,WV,NA,67.9144385026738
25411,Morgan County,WV,NA,75.93582887700535
25801,Raleigh County,WV,NA,6.417112299465241
53005,Waukesha County,WI,NA,70.58823529411765
53029,Waukesha County,WI,90.55793991416309,NA
53045,Waukesha County,WI,60.51502145922747,14.43850267379679
53051,Waukesha County,WI,NA,7.4866310160427805
53121,Walworth County,WI,81.54506437768241,NA
53143,Kenosha County,WI,81.97424892703863,NA
53212,Milwaukee County,WI,11.158798283261802,NA
53218,Milwaukee County,WI,3.004291845493562,NA
53222,Milwaukee County,WI,24.034334763948497,NA
54143,Marinette County,WI,26.180257510729614,NA
54601,La Crosse County,WI,NA,0
54646,Juneau County,WI,75.9656652360515,NA
54880,Douglas County,WI,48.927038626609445,NA
