ZipCode,county,state,Pediatric,Adult,Retirement,Geriatric
02139,Middlesex County,MA,NA,20.491803278688526,NA,NA
02140,Middlesex County,MA,74.42748091603053,NA,NA,NA
02141,Middlesex County,MA,NA,37.97814207650273,NA,NA
02143,Middlesex County,MA,NA,33.33333333333333,81.73258003766477,NA
02145,Middlesex County,MA,31.679389312977097,8.19672131147541,44.632768361581924,11.333333333333332
02148,Middlesex County,MA,NA,1.366120218579235,6.0263653483992465,33.666666666666664
02149,Middlesex County,MA,29.00763358778626,NA,NA,NA
02150,Suffolk County,MA,0.7633587786259541,7.923497267759563,NA,NA
02151,Suffolk County,MA,25.954198473282442,NA,0,NA
02155,Middlesex County,MA,11.068702290076336,3.0054644808743167,0.3766478342749529,NA
02170,Norfolk County,MA,NA,NA,NA,20.666666666666668
02176,Middlesex County,MA,NA,11.748633879781421,NA,NA
02184,Norfolk County,MA,NA,9.01639344262295,NA,9.666666666666666
02188,Norfolk County,MA,78.62595419847328,NA,NA,NA
02301,Plymouth County,MA,9.923664122137405,NA,NA,NA
02343,Norfolk County,MA,NA,46.44808743169399,NA,NA
02368,Norfolk County,MA,15.648854961832063,NA,NA,NA
02445,Norfolk County,MA,NA,34.97267759562842,NA,NA
02467,Norfolk County,MA,NA,NA,NA,26
02474,Middlesex County,MA,NA,18.30601092896175,NA,NA
02476,Middlesex County,MA,NA,73.49726775956285,NA,NA
02478,Middlesex County,MA,NA,28.688524590163933,NA,NA
02631,Barnstable County,MA,NA,NA,49.717514124293785,NA
02718,Bristol County,MA,98.47328244274809,NA,NA,NA
02760,Bristol County,MA,85.49618320610686,NA,NA,NA
48021,Macomb County,MI,NA,NA,NA,28.000000000000004
48072,Oakland County,MI,NA,NA,55.1789077212806,NA
48080,Macomb County,MI,NA,NA,NA,61.66666666666667
48089,Macomb County,MI,NA,NA,27.11864406779661,45.33333333333333
48103,Washtenaw County,MI,NA,NA,3.0131826741996233,NA
48105,Washtenaw County,MI,NA,74.31693989071039,NA,NA
48108,Washtenaw County,MI,77.48091603053436,NA,NA,NA
48111,Wayne County,MI,45.41984732824427,NA,NA,NA
48114,Livingston County,MI,NA,NA,29.943502824858758,52.33333333333333
48116,Livingston County,MI,NA,NA,19.2090395480226,NA
48130,Washtenaw County,MI,NA,NA,NA,42
48135,Wayne County,MI,NA,28.415300546448087,NA,NA
48152,Wayne County,MI,NA,NA,NA,10.666666666666668
48160,Washtenaw County,MI,NA,NA,58.568738229755176,58.333333333333336
48165,Oakland County,MI,NA,NA,NA,74
48167,Oakland County,MI,NA,NA,NA,13.333333333333334
48168,Wayne County,MI,NA,NA,NA,78.33333333333333
